Data,Produto,Categoria,Quantidade,Tipo,Valor Unitário,Custo,Canal de Venda,Método de Pagamento,Estado,Município
2010-02-08 13:16:17,Impressora Epson,Impressora,2,Compra,1576.5,756.99,Online,Boleto,RN,Baraúna
2010-02-08 13:56:39,Teclado Corsair,Teclado,3,Compra,677.37,553.75,Distribuidor,Transferência Bancária,AM,Tonantins
2010-02-08 14:07:28,Mouse C3Teck,Mouse,3,Venda,874.94,538.04,Loja Física,Cartão de Crédito,PB,Várzea
2010-02-08 14:37:44,Notebook Samsung,Notebook,2,Venda,1953.63,898.32,Online,Cartão de Crédito,CE,Quiterianópolis
2010-02-08 14:56:22,Notebook Acer,Notebook,4,Compra,710.43,401.91,Online,Cartão de Crédito,SP,Vargem Grande Paulista
2010-02-08 15:36:57,Monitor AOC,Monitor,2,Compra,760.21,481.05,Loja Física,Transferência Bancária,AM,Tonantins
2010-02-09 14:52:54,Computador HP,Computador,5,Venda,5276.18,1973.6,Loja Física,Boleto,RO,Corumbiara
2010-02-10 10:31:59,Monitor Dell,Monitor,5,Venda,1100.72,609.59,Loja Física,A Vista,RR,São Luiz
2010-02-11 13:37:21,HD Externo Seagate,Armazenamento,4,Venda,369.93,220.29,Online,A Vista,CE,Quiterianópolis
2010-02-11 13:58:40,HD Externo Adata,Armazenamento,4,Venda,293.1,116.95,Distribuidor,Boleto,AP,Pracuúba
2010-02-15 10:13:10,Monitor Asus ROG,Monitor,5,Compra,784.01,252.03,Online,Boleto,GO,Rio Quente
2010-02-15 10:53:37,Computador Lenovo,Computador,1,Venda,9472.57,7089.45,Online,Cartão de Crédito,RS,Jóia
2010-02-15 11:35:18,Monitor Dell,Monitor,3,Compra,2305.32,1505.47,Loja Física,Boleto,MA,Zé Doca
2010-02-15 12:38:48,HD Externo Western Digital,Armazenamento,2,Venda,584.83,327.24,Loja Física,A Vista,PE,Fernando de Noronha
2010-02-15 14:11:24,Monitor AOC,Monitor,5,Compra,1917.92,1117.9,Loja Física,Transferência Bancária,RS,Jóia
2010-02-15 14:51:16,Monitor LG,Monitor,1,Compra,2242.39,1241.33,Distribuidor,Cartão de Crédito,MA,Zé Doca
2010-02-15 16:36:24,HD Externo Adata,Armazenamento,5,Compra,352.75,258.53,Loja Física,Transferência Bancária,BA,Jaborandi
2010-02-16 11:31:44,Monitor LG,Monitor,2,Compra,1475.44,1244.92,Online,A Vista,SC,Tunápolis
2010-02-16 13:54:58,Notebook Acer,Notebook,3,Venda,937.66,602.1,Distribuidor,Transferência Bancária,PA,Mojuí dos Campos
2010-02-16 13:59:44,Monitor LG,Monitor,1,Compra,1761.73,703.74,Online,Cartão de Crédito,SE,Umbaúba
2010-02-17 09:49:28,Computador Dell,Computador,3,Venda,6656.78,2614.31,Distribuidor,Boleto,SC,Tunápolis
2010-02-17 13:17:31,Computador HP,Computador,4,Venda,7914.21,3400.28,Distribuidor,Transferência Bancária,RJ,São José do Vale do Rio Preto
2010-02-17 15:09:59,Notebook Lenovo,Notebook,1,Compra,3196.28,1428.45,Loja Física,Cartão de Crédito,RJ,São José do Vale do Rio Preto
2010-02-17 16:08:00,HD Externo Seagate,Armazenamento,4,Compra,305.76,193.97,Loja Física,Transferência Bancária,MS,Juti
2010-02-18 10:03:35,Teclado Corsair,Teclado,4,Venda,416.87,220.3,Online,Cartão de Crédito,PE,Fernando de Noronha
2010-02-18 14:15:04,Computador HP,Computador,4,Venda,9398.23,7324.91,Loja Física,Transferência Bancária,SE,Umbaúba
2010-02-19 09:30:33,Monitor Dell,Monitor,5,Compra,1282.65,750.08,Distribuidor,Transferência Bancária,RJ,São José do Vale do Rio Preto
2010-02-19 10:38:08,Mouse C3Teck,Mouse,5,Compra,699.85,363.56,Loja Física,Transferência Bancária,SP,Vargem Grande Paulista
2010-02-19 10:48:16,Notebook Dell,Notebook,4,Venda,782.61,462.24,Distribuidor,Boleto,ES,Governador Lindenberg
2010-02-22 10:45:04,Notebook Dell,Notebook,5,Compra,1458.7,1145.42,Loja Física,Boleto,TO,Palmas
2010-02-22 11:28:55,Mouse Multilaser,Mouse,1,Compra,259.96,152.78,Online,A Vista,PI,Alagoinha do Piauí
2010-02-22 14:02:04,Impressora HP,Impressora,2,Venda,733.96,406.56,Online,Cartão de Crédito,PE,Fernando de Noronha
2010-02-22 14:16:46,Teclado Logitech,Teclado,3,Venda,325.53,276.3,Online,Transferência Bancária,MA,Zé Doca
2010-02-22 16:39:27,Teclado Corsair,Teclado,4,Compra,1102.71,826.67,Distribuidor,Transferência Bancária,RJ,São José do Vale do Rio Preto
2010-02-23 11:25:54,HD Externo Adata,Armazenamento,1,Venda,168.65,105.41,Loja Física,Transferência Bancária,AL,Senador Rui Palmeira
2010-02-23 11:43:35,Monitor Dell,Monitor,3,Compra,2146.83,882.52,Distribuidor,Boleto,SE,Umbaúba
2010-02-23 11:56:21,Impressora HP,Impressora,4,Compra,1703.58,1447.19,Online,Boleto,PE,Fernando de Noronha
2010-02-24 10:12:26,Impressora Brother,Impressora,1,Compra,484.03,372.73,Loja Física,A Vista,AC,Santa Rosa do Purus
2010-02-24 12:32:19,Monitor BenQ,Monitor,5,Compra,1507.51,1280.27,Loja Física,Boleto,ES,Governador Lindenberg
2010-02-24 12:34:47,Mouse Redragon,Mouse,4,Venda,577.35,375.02,Loja Física,Cartão de Crédito,RJ,São José do Vale do Rio Preto
2010-02-26 09:32:06,Computador Lenovo,Computador,4,Compra,4314.1,2244.81,Loja Física,A Vista,AL,Senador Rui Palmeira
2010-02-26 09:56:41,Mouse C3Teck,Mouse,5,Venda,784.84,393.92,Online,A Vista,SC,Tunápolis
2010-02-26 15:08:30,HD Externo SanDisk,Armazenamento,4,Compra,594.7,421.0,Online,Boleto,MT,Nova Mutum
2010-02-26 16:21:14,Mouse C3Teck,Mouse,1,Venda,431.25,193.54,Loja Física,Boleto,DF,Brasília
2010-03-01 09:51:14,Notebook Dell,Notebook,5,Compra,1385.28,479.95,Distribuidor,Transferência Bancária,SP,Vargem Grande Paulista
2010-03-01 10:04:14,Mouse C3Teck,Mouse,4,Compra,964.85,564.06,Loja Física,Transferência Bancária,PA,Mojuí dos Campos
2010-03-01 11:43:23,Monitor BenQ,Monitor,4,Venda,917.24,668.29,Loja Física,Cartão de Crédito,MS,Juti
2010-03-01 12:28:59,Teclado Logitech,Teclado,5,Compra,777.31,284.99,Loja Física,A Vista,MS,Juti
2010-03-01 12:34:24,Impressora HP,Impressora,5,Compra,1695.02,771.91,Distribuidor,Boleto,MG,Itaú de Minas
2010-03-01 15:02:57,Monitor Dell,Monitor,5,Compra,2432.02,1019.76,Distribuidor,A Vista,AM,Tonantins
2010-03-01 16:19:27,Teclado Radragon,Teclado,4,Venda,1151.1,959.79,Online,Transferência Bancária,AL,Senador Rui Palmeira
2010-03-08 10:12:55,Computador Dell,Computador,1,Venda,12680.03,10511.9,Distribuidor,Boleto,AP,Pracuúba
2010-03-08 10:23:16,Monitor LG,Monitor,3,Compra,861.58,278.99,Distribuidor,Cartão de Crédito,PR,Fazenda Rio Grande
2010-03-08 12:21:29,Teclado Microsoft,Teclado,3,Compra,1003.32,383.92,Loja Física,A Vista,MS,Juti
2010-03-08 12:39:18,HD Externo SanDisk,Armazenamento,4,Venda,583.12,441.84,Loja Física,Boleto,CE,Quiterianópolis
2010-03-08 15:33:53,Teclado Radragon,Teclado,5,Venda,360.44,149.54,Online,Cartão de Crédito,MG,Itaú de Minas
2010-03-09 12:53:06,Computador HP,Computador,4,Compra,7135.67,3618.44,Distribuidor,Boleto,PB,Várzea
2010-03-12 12:16:06,Mouse Multilaser,Mouse,2,Venda,360.49,237.82,Online,Transferência Bancária,SE,Umbaúba
2010-03-15 11:10:52,Notebook Dell,Notebook,5,Venda,3307.8,1066.87,Distribuidor,Cartão de Crédito,SE,Umbaúba
2010-03-15 13:08:58,Monitor AOC,Monitor,5,Compra,1151.96,380.06,Online,Boleto,PE,Fernando de Noronha
2010-03-15 13:12:42,Monitor Asus ROG,Monitor,5,Venda,1789.52,558.36,Online,A Vista,PB,Várzea
2010-03-15 13:44:30,Notebook Samsung,Notebook,3,Venda,1336.84,809.66,Online,Boleto,MS,Juti
2010-03-15 14:10:26,Monitor Asus ROG,Monitor,4,Compra,1708.55,1133.04,Online,A Vista,MT,Nova Mutum
2010-03-15 14:12:14,Impressora Epson,Impressora,2,Compra,657.87,548.63,Online,Transferência Bancária,GO,Rio Quente
2010-03-15 14:13:15,Notebook Acer,Notebook,4,Venda,3162.88,1550.68,Distribuidor,A Vista,MA,Zé Doca
2010-03-15 14:20:30,Impressora Brother,Impressora,2,Compra,1009.4,703.75,Distribuidor,A Vista,RS,Jóia
2010-03-15 14:27:49,Teclado Microsoft,Teclado,2,Venda,921.34,685.12,Loja Física,A Vista,AC,Santa Rosa do Purus
2010-03-15 15:08:45,Impressora Epson,Impressora,3,Venda,1364.8,855.36,Loja Física,Cartão de Crédito,SE,Umbaúba
2010-03-16 12:59:48,Mouse Multilaser,Mouse,1,Venda,1160.61,922.65,Online,Transferência Bancária,CE,Quiterianópolis
2010-03-17 13:31:13,Computador Lenovo,Computador,2,Compra,11523.22,3629.88,Loja Física,A Vista,MS,Juti
2010-03-18 10:25:30,Mouse Redragon,Mouse,4,Venda,1075.23,837.74,Online,Cartão de Crédito,RO,Corumbiara
2010-03-18 11:19:06,Mouse Razer,Mouse,2,Compra,462.33,370.26,Loja Física,Transferência Bancária,PI,Alagoinha do Piauí
2010-03-19 13:45:46,Notebook Samsung,Notebook,1,Venda,2010.09,1205.7,Online,A Vista,MG,Itaú de Minas
2010-03-22 10:02:41,HD Externo SanDisk,Armazenamento,4,Venda,252.48,156.26,Online,A Vista,AL,Senador Rui Palmeira
2010-03-22 10:27:15,Notebook Samsung,Notebook,5,Venda,2488.35,839.99,Distribuidor,A Vista,BA,Jaborandi
2010-03-22 13:12:09,Impressora Epson,Impressora,3,Compra,597.13,237.04,Loja Física,Cartão de Crédito,ES,Governador Lindenberg
2010-03-22 13:45:40,Mouse Multilaser,Mouse,1,Venda,588.69,183.1,Distribuidor,Cartão de Crédito,RR,São Luiz
2010-03-22 15:55:33,Impressora HP,Impressora,2,Compra,1150.08,724.81,Loja Física,Transferência Bancária,AM,Tonantins
2010-03-22 16:08:35,Teclado Microsoft,Teclado,1,Venda,1177.57,840.59,Distribuidor,Cartão de Crédito,RJ,São José do Vale do Rio Preto
2010-03-23 10:45:14,Computador Dell,Computador,1,Venda,7204.04,4931.34,Online,Transferência Bancária,MS,Juti
2010-03-23 16:53:10,Computador Apple,Computador,3,Venda,9615.95,2980.36,Loja Física,Transferência Bancária,AP,Pracuúba
2010-03-24 10:20:13,Teclado Microsoft,Teclado,5,Venda,1027.74,821.09,Distribuidor,Boleto,RO,Corumbiara
2010-03-24 16:09:49,Computador Lenovo,Computador,2,Venda,12571.72,6194.22,Distribuidor,Cartão de Crédito,PE,Fernando de Noronha
2010-03-25 09:11:59,Mouse Multilaser,Mouse,4,Compra,938.08,309.51,Distribuidor,Transferência Bancária,AL,Senador Rui Palmeira
2010-03-25 11:55:41,Monitor AOC,Monitor,2,Venda,2219.34,934.03,Distribuidor,Cartão de Crédito,SC,Tunápolis
2010-03-25 16:43:10,HD Externo SanDisk,Armazenamento,2,Venda,608.03,397.8,Online,A Vista,AC,Santa Rosa do Purus
2010-03-26 16:22:54,Impressora Epson,Impressora,4,Compra,945.2,482.69,Distribuidor,Cartão de Crédito,PR,Fazenda Rio Grande
2010-03-29 09:19:25,HD Externo Adata,Armazenamento,2,Venda,224.25,138.84,Loja Física,Transferência Bancária,BA,Jaborandi
2010-03-29 09:46:17,Mouse C3Teck,Mouse,3,Venda,766.57,308.9,Online,Boleto,RR,São Luiz
2010-03-29 12:29:19,Monitor BenQ,Monitor,1,Venda,466.61,144.59,Loja Física,Boleto,PR,Fazenda Rio Grande
2010-03-29 13:43:35,Monitor AOC,Monitor,2,Compra,545.12,177.42,Loja Física,A Vista,GO,Rio Quente
2010-03-30 14:05:32,Impressora HP,Impressora,5,Venda,1356.21,600.53,Distribuidor,Transferência Bancária,BA,Jaborandi
2010-03-31 09:18:35,Monitor BenQ,Monitor,4,Compra,1252.47,944.73,Loja Física,Boleto,PA,Mojuí dos Campos
2010-03-31 09:19:56,Monitor Samsung,Monitor,1,Venda,1926.46,609.23,Distribuidor,Boleto,SP,Vargem Grande Paulista
2010-03-31 10:03:32,Mouse Redragon,Mouse,4,Compra,215.96,102.77,Distribuidor,Cartão de Crédito,RR,São Luiz
2010-03-31 11:02:27,Teclado Corsair,Teclado,2,Venda,1212.28,421.52,Distribuidor,Cartão de Crédito,RJ,São José do Vale do Rio Preto
2010-03-31 13:48:51,HD Externo SanDisk,Armazenamento,4,Compra,373.17,247.33,Loja Física,A Vista,RS,Jóia
2010-04-01 09:00:56,Mouse Multilaser,Mouse,1,Compra,1024.02,311.59,Online,Boleto,MS,Juti
2010-04-01 09:23:33,Mouse C3Teck,Mouse,1,Venda,527.3,443.38,Loja Física,A Vista,AP,Pracuúba
2010-04-01 10:28:25,HD Externo Western Digital,Armazenamento,1,Venda,177.27,112.12,Online,Transferência Bancária,RS,Jóia
2010-04-01 13:33:19,Impressora Epson,Impressora,5,Venda,1016.36,715.34,Loja Física,Transferência Bancária,MS,Juti
2010-04-02 13:32:25,Mouse Razer,Mouse,4,Venda,675.77,506.73,Online,Boleto,SE,Umbaúba
2010-04-02 15:44:36,Monitor AOC,Monitor,5,Venda,1639.25,1095.03,Online,Transferência Bancária,GO,Rio Quente
2010-04-05 11:42:13,Teclado Corsair,Teclado,5,Venda,359.03,160.67,Loja Física,A Vista,SP,Vargem Grande Paulista
2010-04-05 13:36:18,Teclado Microsoft,Teclado,3,Venda,806.41,631.15,Distribuidor,Boleto,MA,Zé Doca
2010-04-05 14:33:16,Computador Lenovo,Computador,3,Compra,7631.29,2974.13,Distribuidor,Transferência Bancária,RO,Corumbiara
2010-04-05 15:39:23,Monitor AOC,Monitor,2,Compra,2011.36,971.53,Loja Física,Cartão de Crédito,MG,Itaú de Minas
2010-04-06 13:32:46,Monitor Samsung,Monitor,4,Venda,826.61,427.79,Online,A Vista,GO,Rio Quente
2010-04-07 13:30:04,Teclado Logitech,Teclado,1,Venda,1309.74,1049.93,Online,A Vista,ES,Governador Lindenberg
2010-04-08 16:58:38,Computador Apple,Computador,3,Compra,4631.69,3191.6,Online,Cartão de Crédito,AL,Senador Rui Palmeira
2010-04-12 11:04:49,HD Externo Adata,Armazenamento,5,Compra,112.82,95.6,Online,Cartão de Crédito,AC,Santa Rosa do Purus
2010-04-12 14:36:13,Monitor Samsung,Monitor,4,Venda,589.2,232.83,Loja Física,Cartão de Crédito,RN,Baraúna
2010-04-12 14:49:43,Mouse Razer,Mouse,4,Venda,874.18,286.59,Online,Cartão de Crédito,TO,Palmas
2010-04-13 13:03:34,Monitor BenQ,Monitor,2,Venda,1101.89,755.53,Online,A Vista,SC,Tunápolis
2010-04-13 13:05:38,Mouse Redragon,Mouse,1,Compra,594.47,317.05,Distribuidor,Transferência Bancária,CE,Quiterianópolis
2010-04-13 13:13:51,HD Externo Adata,Armazenamento,4,Compra,174.52,141.72,Online,Cartão de Crédito,AP,Pracuúba
2010-04-14 09:37:44,Impressora Brother,Impressora,4,Compra,757.8,519.72,Online,Boleto,MT,Nova Mutum
2010-04-14 12:40:21,Impressora HP,Impressora,4,Compra,735.56,398.62,Distribuidor,Cartão de Crédito,MS,Juti
2010-04-14 13:48:25,Notebook Acer,Notebook,4,Compra,3407.51,1964.91,Distribuidor,Cartão de Crédito,RS,Jóia
2010-04-15 12:03:25,Notebook Dell,Notebook,3,Venda,1812.93,713.77,Online,Boleto,MG,Itaú de Minas
2010-04-16 11:22:52,Teclado Logitech,Teclado,4,Venda,813.06,579.54,Loja Física,Cartão de Crédito,PR,Fazenda Rio Grande
2010-04-16 11:33:34,Computador Lenovo,Computador,4,Venda,2865.18,1950.06,Loja Física,Transferência Bancária,GO,Rio Quente
2010-04-19 09:11:39,HD Externo Western Digital,Armazenamento,3,Venda,375.58,171.51,Loja Física,A Vista,MS,Juti
2010-04-19 11:50:48,Notebook Asus,Notebook,2,Compra,3418.46,1490.45,Loja Física,Cartão de Crédito,MS,Juti
2010-04-19 12:06:19,Mouse C3Teck,Mouse,5,Compra,361.2,223.83,Loja Física,Cartão de Crédito,PE,Fernando de Noronha
2010-04-19 13:32:50,Notebook Dell,Notebook,1,Venda,1573.32,706.24,Loja Física,Cartão de Crédito,AL,Senador Rui Palmeira
2010-04-19 14:34:58,Teclado Radragon,Teclado,2,Venda,429.69,222.85,Loja Física,Boleto,AL,Senador Rui Palmeira
2010-04-23 09:16:25,Notebook Acer,Notebook,4,Venda,3132.47,1704.11,Loja Física,Boleto,PE,Fernando de Noronha
